"filename", "language", "JavaScript", "Markdown", "Vue", "JSON", "HTML", "SCSS", "comment", "blank", "total"
"d:\Desktop\Node-Vue\web\src\assets\iconfont\iconfont.json", "JSON", 0, 0, 0, 65, 0, 0, 0, 1, 66
"d:\Desktop\Node-Vue\web\src\assets\scss\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 68, 10, 26, 104
"d:\Desktop\Node-Vue\web\src\assets\scss\style.scss", "SCSS", 0, 0, 0, 0, 0, 184, 13, 57, 254
"d:\Desktop\Node-Vue\web\src\components\Card.vue", "Vue", 0, 0, 29, 0, 0, 0, 1, 2, 32
"d:\Desktop\Node-Vue\web\src\components\HelloWorld.vue", "Vue", 0, 0, 41, 0, 0, 0, 1, 4, 46
"d:\Desktop\Node-Vue\web\src\components\ListCard.vue", "Vue", 0, 0, 42, 0, 0, 0, 1, 2, 45
"d:\Desktop\Node-Vue\web\src\main.js", "JavaScript", 21, 0, 0, 0, 0, 0, 4, 7, 32
"d:\Desktop\Node-Vue\web\src\router\index.js", "JavaScript", 24, 0, 0, 0, 0, 0, 3, 4, 31
"d:\Desktop\Node-Vue\web\src\views\About.vue", "Vue", 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\Desktop\Node-Vue\web\src\views\Home.vue", "Vue", 0, 0, 159, 0, 0, 0, 16, 7, 182
"d:\Desktop\Node-Vue\web\src\views\Main.vue", "Vue", 0, 0, 37, 0, 0, 0, 0, 4, 41
"Total", "-", 427, 48, 1493, 26129, 363, 727, 209, 539, 29935
